name,city,state,tuition_in_state_usd,tuition_out_of_state_usd,avg_net_price_usd,selectivity_tier,acceptance_rate,accepted_per_year,applicants_total,student_body_size,unitid,data_completeness,gpa_average,test_policy,financial_aid_policy,control,major_1,major_2,major_3
American River College,Sacramento,CA,1288.0,12808.0,4628.0,Moderately Selective,0.5,,,25758,1000141,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Antelope Valley Community College District,Lancaster,CA,1124.0,8228.0,8263.0,Moderately Selective,0.5,,,10905,1000142,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Art Center College of Design,Pasadena,CA,51640.0,51640.0,50209.0,Less Selective,0.7498,,,2054,1000143,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Associated Technical College-Los Angeles,Los Angeles,CA,9748.0,17062.0,22236.0,Moderately Selective,0.5,,,159,1000144,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Azusa Pacific University,Azusa,CA,43600.0,43600.0,19798.0,Less Selective,0.7948000000000001,,,2977,1000145,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Bakersfield College,Bakersfield,CA,1430.0,10310.0,4751.0,Moderately Selective,0.5,,,16451,1000146,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Barstow Community College,Barstow,CA,1104.0,9936.0,12347.0,Moderately Selective,0.5,,,2585,1000147,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Bellus Academy-Chula Vista,Chula Vista,CA,9748.0,17062.0,20159.0,Moderately Selective,0.5,,,379,1000148,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Bethesda University,Anaheim,CA,7220.0,7220.0,8388.0,Moderately Selective,0.5,,,212,1000149,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Biola University,La Mirada,CA,46704.0,46704.0,28101.0,Less Selective,0.6008,,,3390,1000150,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Brownson Technical School,Anaheim,CA,9748.0,17062.0,32584.0,Moderately Selective,0.5,,,284,1000151,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
