name,city,state,tuition_in_state_usd,tuition_out_of_state_usd,avg_net_price_usd,selectivity_label,acceptance_rate_percent,accepted_per_year,applicants_total,student_body_size
Musicians Institute,Hollywood,CA,28400,28400,37793,Somewhat selective,71.29,,,735
Napa Valley College,Napa,CA,1156,11908,14046,Unknown,,,,3205
National Holistic Institute,Emeryville,CA,,,29199,Unknown,,,,1134
National University,San Diego,CA,13320,13320,31058,Unknown,,,,9725
Newschool of Architecture and Design,San Diego,CA,30291,30291,48616,Less selective,100.0,,,212
North Adrian's College of Beauty Inc,Modesto,CA,,,20347,Unknown,,,,213
North-West College-Pomona,Pomona,CA,,,33256,Unknown,,,,315
North-West College-West Covina,West Covina,CA,,,28408,Unknown,,,,635
North-West College-Van Nuys,Van Nuys,CA,,,33464,Unknown,,,,225
Occidental College,Los Angeles,CA,63446,63446,39329,Selective,39.89,,,1844
Ohlone College,Fremont,CA,1202,8714,14130,Unknown,,,,6958
Orange Coast College,Costa Mesa,CA,1208,9992,4754,Unknown,,,,16117
Otis College of Art and Design,Los Angeles,CA,55513,55513,45864,Less selective,83.98,,,1242
Oxnard College,Oxnard,CA,1416,8179,659,Unknown,,,,6059
Hope International University,Fullerton,CA,36250,36250,27653,Selective,35.39,,,549
Concorde Career College-San Diego,San Diego,CA,,,24477,Less selective,93.95,,,178
Pacific Oaks College,Pasadena,CA,33360,33360,,Very selective,10.0,,,346
Pacific Union College,Angwin,CA,35214,35214,20979,Selective,42.48,,,910
University of the Pacific,Stockton,CA,55340,55340,25926,Less selective,94.86,,,3247
Palo Verde College,Blythe,CA,1288,12880,10543,Unknown,,,,2909
Palomar College,San Marcos,CA,1354,10650,5247,Unknown,,,,16167
Pasadena City College,Pasadena,CA,1180,10756,3123,Unknown,,,,20624
Pepperdine University,Malibu,CA,66742,66742,45409,Selective,49.85,,,3629
Pitzer College,Claremont,CA,62692,62692,31663,Very selective,16.66,,,1191
Point Loma Nazarene University,San Diego,CA,43550,43550,50168,Less selective,81.76,,,3132
Pomona College,Claremont,CA,62326,62326,19424,Extremely selective,6.76,,,1638
Porterville College,Porterville,CA,1409,10289,3728,Unknown,,,,2775
Santa Ana College,Santa Ana,CA,1180,9460,3854,Unknown,,,,22011
Shasta School of Cosmetology,Redding,CA,,,26582,Unknown,,,,101
University of Redlands,Redlands,CA,57614,57614,22867,Less selective,80.92,,,2095
College of the Redwoods,Eureka,CA,1147,7783,3214,Unknown,,,,3514
Salon Success Academy-Upland,Upland,CA,,,16626,Unknown,,,,238
Salon Success Academy-Corona,Corona,CA,,,12983,Unknown,,,,216
Rio Hondo College,Whittier,CA,1388,9884,11903,Unknown,,,,15365
Riverside City College,Riverside,CA,1420,11230,4026,Unknown,,,,17361
Sacramento City College,Sacramento,CA,1288,12808,3974,Unknown,,,,16952
Saddleback College,Mission Viejo,CA,1432,13732,2976,Unknown,,,,15959
Samuel Merritt University,Oakland,CA,,,,Unknown,,,,712
San Diego City College,San Diego,CA,1150,9094,-818,Unknown,,,,10584
San Diego Mesa College,San Diego,CA,1150,9094,-904,Unknown,,,,15899
San Diego Miramar College,San Diego,CA,1150,9094,-2735,Unknown,,,,10740
San Diego State University,San Diego,CA,8290,20170,16174,Selective,34.44,,,33654
University of San Diego,San Diego,CA,56444,56444,31265,Selective,46.75,,,5619
San Francisco Conservatory of Music,San Francisco,CA,54550,54550,42448,Somewhat selective,51.94,,,215
San Francisco State University,San Francisco,CA,7424,19304,12882,Less selective,96.15,,,20033
University of San Francisco,San Francisco,CA,58222,58222,39495,Somewhat selective,50.77,,,5697
San Joaquin Delta College,Stockton,CA,1288,9072,8508,Unknown,,,,13964
San Joaquin Valley College-Visalia,Visalia,CA,,,29092,Unknown,,,,2270
William Jessup University,Rocklin,CA,37150,37150,25300,Less selective,76.82,,,1021
San Jose City College,San Jose,CA,1366,9486,16658,Unknown,,,,7039
San Jose State University,San Jose,CA,7992,19872,13741,Less selective,80.23,,,26757
College of San Mateo,San Mateo,CA,1332,11384,1504,Unknown,,,,7359
Santa Barbara City College,Santa Barbara,CA,1234,10186,10029,Unknown,,,,10070
Santa Clara University,Santa Clara,CA,59241,59241,50959,Selective,43.84,,,6235
Santa Monica College,Santa Monica,CA,1156,9316,3600,Unknown,,,,21194
Santa Rosa Junior College,Santa Rosa,CA,1318,11308,5541,Unknown,,,,14327
